metabolite_name	rt	mz
Broad_HP_mz452.3943_rt2.45	2.45	452.3942948
Broad_HP_mz458.3474_rt2.45	2.45	458.3473533
Broad_HP_mz466.4099_rt2.45	2.45	466.4099435
Broad_HP_mz504.4258_rt2.45	2.45	504.4257582
Broad_HP_mz506.4413_rt2.45	2.45	506.441312999999
Broad_HP_mz519.4051_rt2.67	2.67	519.405118499999
Broad_HP_mz548.4261_rt2.76	2.76	548.426130899999
Broad_HP_mz548.9279_rt2.75	2.75	548.9278748
Broad_HP_mz626.5198_rt2.45	2.45	626.519784699999
Broad_HP_mz684.5618_rt2.46	2.46	684.561783099999
Broad_HP_mz207.1589_rt2.51	2.50999999999999	207.1589074
Broad_HP_mz212.1643_rt2.48	2.48	212.1643271
Broad_HP_mz245.1745_rt2.45	2.45	245.1745299
Broad_HP_mz249.1695_rt2.52	2.52	249.169512099999
Broad_HP_mz265.1644_rt2.5	2.5	265.1644053
Broad_HP_mz211.1327_rt2.52	2.52	211.1327416
Broad_HP_mz254.1749_rt2.49	2.49	254.174913
Broad_HP_mz151.1116_rt2.52	2.52	151.111646
Broad_HP_mz186.1487_rt2.51	2.50999999999999	186.1486855
Broad_HP_mz275.2328_rt2.48	2.48	275.2328016
Broad_HP_mz310.2224_rt2.54	2.54	310.222397699999
Broad_HP_mz313.2848_rt2.55	2.54999999999999	313.2847673
Broad_HP_mz379.305_rt2.46	2.46	379.3050443
Broad_HP_mz221.1535_rt2.43	2.43	221.1534986
Broad_HP_mz410.3473_rt2.59	2.59	410.347325399999
Broad_HP_mz538.4313_rt2.52	2.52	538.431249999999
Broad_HP_mz169.1334_rt2.55	2.54999999999999	169.133406699999
Broad_HP_mz198.1487_rt2.52	2.52	198.1487025
Broad_HP_mz265.2008_rt2.57	2.57	265.200823599999
Broad_HP_mz242.1749_rt2.54	2.54	242.1749044
Broad_HP_mz496.4206_rt2.62	2.62	496.4205845
Broad_HP_mz252.1804_rt2.47	2.47	252.180411099999
Broad_HP_mz502.374_rt2.63	2.63	502.373988899999
