sample_id	sample_type	sample_order	raw_file	extraction_date	acquisition_date	lc_column_id
12603011003	Sample	62	B0043_MoTrPAC_Tranche4_HumanMuscle_HP-12603011003.raw	2025-03-13	2025-03-14	186002015_01143426718802
13097011003	Sample	63	B0044_MoTrPAC_Tranche4_HumanMuscle_HP-13097011003.raw	2025-03-13	2025-03-14	186002015_01143426718802
13097021003	Sample	64	B0045_MoTrPAC_Tranche4_HumanMuscle_HP-13097021003.raw	2025-03-13	2025-03-14	186002015_01143426718802
11754011003	Sample	65	B0046_MoTrPAC_Tranche4_HumanMuscle_HP-11754011003.raw	2025-03-13	2025-03-14	186002015_01143426718802
11609011003	Sample	66	B0047_MoTrPAC_Tranche4_HumanMuscle_HP-11609011003.raw	2025-03-13	2025-03-14	186002015_01143426718802
11609041003	Sample	67	B0048_MoTrPAC_Tranche4_HumanMuscle_HP-11609041003.raw	2025-03-13	2025-03-14	186002015_01143426718802
11609031003	Sample	68	B0049_MoTrPAC_Tranche4_HumanMuscle_HP-11609031003.raw	2025-03-13	2025-03-14	186002015_01143426718802
11609021003	Sample	69	B0050_MoTrPAC_Tranche4_HumanMuscle_HP-11609021003.raw	2025-03-13	2025-03-15	186002015_01143426718802
Tranche3Pool01	QC-Pooled	70	B0050a_MoTrPAC_Tranche4_HumanMuscle_HP-Tranche3Pool01.raw	2024-10-14	2025-03-15	186002015_01143426718802
Tranche3Pool02	QC-Pooled	71	B0050b_MoTrPAC_Tranche4_HumanMuscle_HP-Tranche3Pool02.raw	2024-10-14	2025-03-15	186002015_01143426718802
Tranche3Pool03	QC-Pooled	72	B0050c_MoTrPAC_Tranche4_HumanMuscle_HP-Tranche3Pool03.raw	2024-10-14	2025-03-15	186002015_01143426718802
Tranche3Pool04	QC-Pooled	73	B0050d_MoTrPAC_Tranche4_HumanMuscle_HP-Tranche3Pool04.raw	2024-10-14	2025-03-15	186002015_01143426718802
Tranche3Pool05	QC-Pooled	74	B0050e_MoTrPAC_Tranche4_HumanMuscle_HP-Tranche3Pool05.raw	2024-10-14	2025-03-15	186002015_01143426718802
11441021003	Sample	75	B0051_MoTrPAC_Tranche4_HumanMuscle_HP-11441021003.raw	2025-03-13	2025-03-15	186002015_01143426718802
11441041003	Sample	76	B0052_MoTrPAC_Tranche4_HumanMuscle_HP-11441041003.raw	2025-03-13	2025-03-15	186002015_01143426718802
11441011003	Sample	77	B0053_MoTrPAC_Tranche4_HumanMuscle_HP-11441011003.raw	2025-03-13	2025-03-15	186002015_01143426718802
